https://w3id.org/mint/modelCatalog#VariablePresentation,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/mint/modelCatalog#hasShortName,https://w3id.org/mint/modelCatalog#hasLongName,http://purl.org/dc/terms/description,https://w3id.org/mint/modelCatalog#hasStandardVariable,https://w3id.org/mint/modelCatalog#usesUnit,https://w3id.org/mint/modelCatalog#hasCanonicalName,https://w3id.org/mint/modelCatalog#hasMinimumAcceptedValue,https://w3id.org/mint/modelCatalog#hasMaximumAcceptedValue,https://w3id.org/mint/modelCatalog#hasDefaultValue
DSSAT_SSKS,SSKS,SSKS,Saturated hydraulic conductivity,Saturated hydraulic conductivity,soil_water__saturated_hydraulic_conductivity,cm/h,,,,
econ_xbar1,xbar1,xbar1,land allocation,land area by crop (observed),land_crop__allocated_area,ha,,,,
econ_xbar2,xbar2,xbar2,nitrogen fertilizer use,nitrogen fertilizer applications by crop (observed),crop_fertilizer~nitrogen__applied_mass,kg,,,,
econ_ybar,ybar,ybar,crop yields,crop yields per unit land area (observed),crop__mass-per-area_yield,kg/ha,crop__mass-per-area_yield,,,
econ_p,p,p,crop prices,crop prices received by farmer in USD,crop__price-per-mass,USD/kg,crop__price-per-mass,,,
econ_eta,eta,eta,supply elasticities,percent change in crop supply divided by percent change in crop price,crop__supply_elasticity,unitless,,,,
econ_c1,c1,c1,land cost,costs of production per unit land area,land_crop__production_cost-per-area,USD/ha,,,,
econ_c2,c2,c2,nitrogen fertilizer cost,costs of fertilizer use per unit applied,fertilizer~nitrogen__usage-cost-per-applied-mass,USD/kg,fertilizer~nitrogen__usage-cost-per-applied-mass,,,
econ_ybarN,ybarN,ybarN,yield elasticity,percent change in crop yield divided by percent change in nitrogen fertilizer use (from Cycles),crop_fertilizer~nitrogen__yield_elasticity,unitless,crop_fertilizer~nitrogen__yield_elasticity,,,
econ_fert_subsidy,fert_subsidy,fert_subsidy,nitrogen fertilizer subsidy,percent reduction in nitrogen fertilizer cost per unit applied,fertilizer~nitrogen__reduced_cost_fraction,percent,,,,
econ_land_area,land area,land area,land allocation,land area by crop (simulated),land_crop__allocated_area,ha,land_crop__allocated_area,,,
econ_obsyield,obsyield,obsyield,crop yields,crop yields per unit land area (simulated),land_crop__mass-per-area_yield,kg/ha,land_crop__mass-per-area_yield,,,
econ_production,production,production,crop production,total production by crop (simulated),crop__produced_mass,kg,crop__production,,,
econ_Nfert,Nfert,Nfert,nitrogen fertilizer applications,nitrogen fertilizer applications (simulated),land_fertilizer~nitrogen__applied_mass-per-area_density,kg/ha,,,,
LDAS_RAIN,rainfall,rainfall,precipitation,Rainfall flux,rainfall__mass_flux,,,,,
LDAS_SM,soil moisture,soil moisture,soil moisture ,Soil moisture content in layer 1,soil_moisture__vertical_integral_of_mass-per-volume_concentration,,,,,
cycles_year,YEAR,YEAR,year number,Year,,unitless,,,,
cycles_doy,DOY,DOY,day of the year,Calendar day from 1 to 366,,unitless,,,,
cycles_pp,PP,PP,precipitation,Precipitation,atmosphere_water__time_integral_of_precipitation_volume_flux,mm/day,atmosphere_water__precipitation_volume_flux,,,
cycles_tx,TX,TX,temperature air maximum of the day,Maximum air temperature recorded or model-generated for that day at 1.5 m above the surface,air__one-day_max_of_temperature,C,,,,
cycles_tn,TN,TN,temperature minimum of the day,Minimum air temperature recorded or model-generated for that day at 1.5 m above the surface,air__one-day_min_of_temperature,C,,,,
cycles_sr,SR,SR,solar radiation of the dayÊ,Shortwave incoming radiation on a horizontal surface at elevation of the location,land_surface~horizontal_radiation~shortwave~incoming__energy_flux,MJ/m2/day,,,,
cycles_hx,HX,HX,relative humidity maximum,Vapor pressure of air at time of minimum temperature divided by saturation vapor pressure at minimum temperature (x 100 converts to percentage),atmosphere_air_water~vapor__min_temperature_relative_saturation,Pa/Pa x 100,,,,
cycles_hn,HN,HN,relativey humidity minimum,Vapor pressure of air at time of maximum temperature divided by saturation vapor pressure at maximum temperature (x 100 converts to percentage),atmosphere_air_water~vapor__max_temperature_relative_saturation,Pa/Pa x 100,,,,
cycles_ws,WS,WS,wind speed,Wind speed at 1.5 m above the surface,land_surface~1.5m-above_wind__speed,m/s,,,,
cycles_cn,CN,CN,soil curve number,A number that describes the soil disposition towards runoff (100 = all runoff); NRCS method adapted to field models,soil__curve_number,unitless,,,,
cycles_slope,SLOPE,SLOPE,slope of the field,Average slope of field of interest,land_surface__slope,m/m,,,,
cycles_layer,LAYER,LAYER,soil layer number,Soil layer number from 1 to an integer that is user defined (or database defined),,unitless,,,,
cycles_dz,DZ,DZ,soil layer thickness,Soil layer thickness,soil_layer__thickness,m,,,,
cycles_clay,CLAY,CLAY,clay percentage,,soil_clay__mass_fraction,kg/kg,,,,
cycles_silt,SILT,SILT,silt percentage,Silt mass per unit of soil mass (no rocks) and expressed as a percentage,soil(~no-rock?)_silt__mass_fraction,kg/kg,,,,
cycles_rv,RV,RV,rock volume,Rock volume expressed as volume over total volume,soil_rock__volume_fraction,m3/m3,,,,
cycles_bd,BD,BD,bulk density,Soil mass dry and witout rock divided by the sampled volume,soil~dry(~no-rock?)__bulk_mass-per-volume_density,Mg/m3,,,,
cycles_som,SOM,SOM,soil organic matter,Soil organic matter per unit of non-rock soil expressed as percentage over total mass,soil_matter~organic__mass_fraction,kg/kg x 100,,,,
cycles_smc,SMC,SMC,soil moisture content,Soil moisture content of each layer indexed from top to bottom,soil_water__volume_fraction,m3/m3,soil_water__volume_fraction,,,
cycles_infiltration,INFILTRATION,INFILTRATION,infiltration,Net infiltration into soil,soil_water__volume-per-area_infiltration_rate,mm/day,,,,
cycles_total_biomass,TOTAL BIOMASS,TOTAL BIOMASS,total plant biomass,Total plant mass at time of grain or forage harvest or death,plant__mass-per-area_harvest_forage_density,Mg/ha,,,,
cycles_root_biomass,ROOT BIOMASS,ROOT BIOMASS,root biomass,Root biomass at time of grain or forage harvests or death,plant_root__mass-per-area_harvest_density,Mg/ha,,,,
cycles_grain_yield,GRAIN YIELD,GRAIN YIELD,grain yield,Grain yield removed from the field dry basis,grain__dry_mass-per-area_yield,Mg/ha,,,,
cycles_forage_yield,FORAGE YIELD,FORAGE YIELD,forage yield,Forage yield or removed residue biomass at harvest dry basis,plant_residue__mass-per-area_harvest_forage_yield,Mg/ha,,,,
